               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.061078,            0.022271,            0.010398,             0.69786,             0.83333,              0.8386,             0.40343,            0.033789,            0.010489,           0.0055364,           0.0071785,           0.0071785,           0.0071785
                  59,            0.062515,            0.019384,            0.012547,             0.71013,             0.73296,             0.84014,             0.42716,            0.033078,             0.01024,           0.0050438,            0.007129,            0.007129,            0.007129
                  60,            0.058016,            0.014924,            0.012097,             0.71013,             0.73296,             0.84014,             0.42716,            0.033078,             0.01024,           0.0050438,           0.0070795,           0.0070795,           0.0070795
                  61,            0.052471,            0.016022,           0.0073941,             0.59764,             0.99964,             0.87595,              0.3178,             0.03414,           0.0096676,           0.0053477,             0.00703,             0.00703,             0.00703
                  62,            0.056219,            0.019057,           0.0098972,             0.59764,             0.99964,             0.87595,              0.3178,             0.03414,           0.0096676,           0.0053477,           0.0069805,           0.0069805,           0.0069805
                  63,             0.04826,            0.016266,            0.008759,             0.76292,             0.69613,             0.70321,             0.26149,            0.036555,           0.0095872,           0.0050744,            0.006931,            0.006931,            0.006931
                  64,             0.06225,            0.016379,           0.0097233,             0.76292,             0.69613,             0.70321,             0.26149,            0.036555,           0.0095872,           0.0050744,           0.0068815,           0.0068815,           0.0068815
                  65,            0.055793,            0.020404,            0.011681,             0.66558,             0.99057,             0.92556,             0.38487,            0.033709,            0.009318,           0.0041149,            0.006832,            0.006832,            0.006832
                  66,            0.065723,            0.014762,           0.0074513,             0.66558,             0.99057,             0.92556,             0.38487,            0.033709,            0.009318,           0.0041149,           0.0067825,           0.0067825,           0.0067825
                  67,            0.065371,            0.024923,            0.010756,             0.78478,             0.93566,             0.89579,              0.5405,            0.025805,           0.0094953,            0.004053,            0.006733,            0.006733,            0.006733
                  68,            0.038773,            0.015301,           0.0087474,             0.78478,             0.93566,             0.89579,              0.5405,            0.025805,           0.0094953,            0.004053,           0.0066835,           0.0066835,           0.0066835
                  69,            0.046316,            0.016909,           0.0080181,             0.85134,               0.741,             0.83706,             0.42221,            0.029901,           0.0087102,           0.0041216,            0.006634,            0.006634,            0.006634
                  70,            0.058115,            0.014608,           0.0063041,             0.85134,               0.741,             0.83706,             0.42221,            0.029901,           0.0087102,           0.0041216,           0.0065845,           0.0065845,           0.0065845
                  71,            0.057607,            0.014556,           0.0066764,             0.71574,             0.74831,             0.82377,             0.36893,            0.033296,           0.0086848,           0.0035614,            0.006535,            0.006535,            0.006535
                  72,             0.04117,            0.014447,           0.0055597,             0.71574,             0.74831,             0.82377,             0.36893,            0.033296,           0.0086848,           0.0035614,           0.0064855,           0.0064855,           0.0064855
                  73,              0.0535,            0.019128,           0.0076442,              0.8006,             0.73163,             0.84704,             0.48814,            0.031012,           0.0084671,           0.0045765,            0.006436,            0.006436,            0.006436
