               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,             0.06277,            0.017814,            0.008141,             0.61076,                   1,             0.83111,             0.43497,            0.027522,           0.0078606,           0.0028473,            0.007624,            0.007624,            0.007624
                  74,            0.052697,            0.015846,           0.0060944,             0.61076,                   1,             0.83111,             0.43497,            0.027522,           0.0078606,           0.0028473,            0.007591,            0.007591,            0.007591
                  75,            0.051626,            0.019763,           0.0075347,             0.68945,             0.99845,             0.81306,             0.35362,            0.032319,           0.0080416,           0.0026915,            0.007558,            0.007558,            0.007558
                  76,            0.057255,            0.015823,           0.0074091,             0.68945,             0.99845,             0.81306,             0.35362,            0.032319,           0.0080416,           0.0026915,            0.007525,            0.007525,            0.007525
                  77,            0.055309,            0.016415,           0.0044223,             0.50672,             0.99989,             0.68718,             0.27921,            0.033889,           0.0083546,           0.0024226,            0.007492,            0.007492,            0.007492
                  78,            0.048875,            0.016119,           0.0054871,             0.50672,             0.99989,             0.68718,             0.27921,            0.033889,           0.0083546,           0.0024226,            0.007459,            0.007459,            0.007459
                  79,            0.055603,            0.020541,           0.0068041,             0.78193,             0.82487,             0.89373,             0.53264,            0.025853,           0.0080166,           0.0023666,            0.007426,            0.007426,            0.007426
                  80,            0.049523,            0.016634,           0.0047593,             0.78193,             0.82487,             0.89373,             0.53264,            0.025853,           0.0080166,           0.0023666,            0.007393,            0.007393,            0.007393
                  81,            0.049877,             0.01564,           0.0039602,             0.85645,             0.75434,             0.89222,              0.4406,            0.029936,           0.0077978,           0.0024696,             0.00736,             0.00736,             0.00736
                  82,            0.044234,            0.014257,           0.0067189,             0.85645,             0.75434,             0.89222,              0.4406,            0.029936,           0.0077978,           0.0024696,            0.007327,            0.007327,            0.007327
                  83,            0.049673,             0.01743,            0.005506,              0.7262,             0.77226,             0.86524,             0.39228,            0.030115,           0.0080767,           0.0037032,            0.007294,            0.007294,            0.007294
                  84,            0.048086,            0.015406,           0.0046877,              0.7262,             0.77226,             0.86524,             0.39228,            0.030115,           0.0080767,           0.0037032,            0.007261,            0.007261,            0.007261
                  85,             0.05325,            0.014751,           0.0046344,             0.89866,             0.86778,             0.92913,             0.65503,            0.026609,           0.0078936,           0.0065921,            0.007228,            0.007228,            0.007228
                  86,            0.053554,            0.019345,           0.0073504,             0.89866,             0.86778,             0.92913,             0.65503,            0.026609,           0.0078936,           0.0065921,            0.007195,            0.007195,            0.007195
                  87,            0.050407,            0.018653,           0.0054884,             0.84155,             0.50418,             0.72926,             0.23298,            0.030546,            0.008531,           0.0088586,            0.007162,            0.007162,            0.007162
                  88,            0.049914,            0.013821,           0.0054755,             0.84155,             0.50418,             0.72926,             0.23298,            0.030546,            0.008531,           0.0088586,            0.007129,            0.007129,            0.007129
                  89,            0.054843,            0.014768,            0.006532,             0.90222,              0.7041,             0.83448,             0.58269,            0.028224,           0.0082591,            0.010639,            0.007096,            0.007096,            0.007096
                  90,            0.049435,            0.014671,           0.0041671,             0.90222,              0.7041,             0.83448,             0.58269,            0.028224,           0.0082591,            0.010639,            0.007063,            0.007063,            0.007063
                  91,            0.051265,            0.010645,           0.0069563,             0.99432,             0.65031,             0.92278,              0.5202,             0.03215,           0.0080434,           0.0028271,             0.00703,             0.00703,             0.00703
                  92,            0.033592,            0.014947,           0.0035042,             0.99432,             0.65031,             0.92278,              0.5202,             0.03215,           0.0080434,           0.0028271,            0.006997,            0.006997,            0.006997
                  93,            0.049831,            0.013738,           0.0049818,             0.70527,                   1,             0.97833,             0.56814,            0.027319,           0.0078445,           0.0019564,            0.006964,            0.006964,            0.006964
                  94,            0.047697,            0.016336,           0.0037393,             0.70527,                   1,             0.97833,             0.56814,            0.027319,           0.0078445,           0.0019564,            0.006931,            0.006931,            0.006931
                  95,            0.047862,            0.014863,           0.0044125,             0.96275,             0.94409,               0.995,             0.66326,             0.02441,           0.0068281,           0.0015727,            0.006898,            0.006898,            0.006898
                  96,            0.045474,            0.015662,           0.0048406,             0.96275,             0.94409,               0.995,             0.66326,             0.02441,           0.0068281,           0.0015727,            0.006865,            0.006865,            0.006865
                  97,            0.038419,            0.013131,           0.0032027,             0.77801,                   1,               0.945,             0.51447,            0.034092,           0.0075511,           0.0014138,            0.006832,            0.006832,            0.006832
                  98,            0.053494,            0.015552,           0.0071699,             0.77801,                   1,               0.945,             0.51447,            0.034092,           0.0075511,           0.0014138,            0.006799,            0.006799,            0.006799
                  99,            0.052992,            0.014588,           0.0043579,             0.97184,                   1,               0.995,             0.64915,            0.021176,           0.0068345,           0.0014011,            0.006766,            0.006766,            0.006766
